c_diagnose_1;c_diagnose_Catalog_1;mapped_Catalog;number_of_mappings;number_of_upsamplings;matchable_code
043.2;ICD-9;['ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS'];10844.0;3.0;4
540-543;ICD-9;['ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM'];4.0;4.0;540
E66.08;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];11.0;1.0;E66.0
E66.28;ICD10 2022;['ICD10GM', 'ICD10', 'ICD10CM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];9.0;1.0;E66.2
H35.39;ICD10 2022;['ICD10', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM'];79.0;1.0;H35.3
K65.00;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10GM'];3.0;1.0;K65.0
N13.68;ICD10 2022;['ICD10CM', 'ICD10', 'ICD10GM'];3.0;1.0;N13.6
S;ICD-10 V20;['ICD10', 'ICD10GM', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10GM', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10'];347525.0;1.0;
 ;ICD-10;['ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10GM', 'ICD10GM', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10'];347525.0;1.0;
 ;ICD-10 V20;['ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10GM', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10'];347525.0;1.0;
482.-;ICD-9;['ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM'];20.0;1.0;482.
CA;ICD-10 V20;['ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];4446.0;1.0;C
E66.96;ICD10 2022;['ICD10GM', 'ICD10', 'ICD10CM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];9.0;1.0;E66.9
K86.80;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM'];5.0;1.0;K86.8
